frame,label,measured,error
0,"(466, 256)","(466, 255)",1.0
1,"(466, 256)","(466, 254)",2.0
2,"(466, 256)",None,None
3,"(466, 256)","(466, 253)",3.0
4,"(466, 256)","(466, 253)",3.0
5,"(466, 256)","(466, 253)",3.0
6,"(466, 256)","(466, 255)",1.0
7,"(466, 256)","(466, 255)",1.0
8,"(466, 256)","(466, 253)",3.0
9,"(466, 256)","(466, 253)",3.0
10,"(466, 256)",None,None
11,"(466, 256)","(466, 254)",2.0
12,"(466, 256)","(465, 254)",2.23606797749979
13,"(466, 255)","(465, 254)",1.4142135623730951
14,"(466, 255)","(465, 253)",2.23606797749979
15,"(466, 255)",None,None
16,"(466, 254)","(465, 253)",1.4142135623730951
17,"(466, 254)","(466, 252)",2.0
18,"(466, 254)","(465, 253)",1.4142135623730951
19,"(466, 254)","(465, 253)",1.4142135623730951
20,"(466, 254)","(466, 253)",1.0
21,"(466, 254)","(466, 253)",1.0
22,"(466, 254)","(466, 252)",2.0
23,"(466, 254)","(466, 252)",2.0
24,"(466, 254)","(466, 250)",4.0
25,"(466, 254)","(466, 253)",1.0
26,"(466, 254)","(465, 253)",1.4142135623730951
27,"(466, 254)","(465, 251)",3.1622776601683795
28,"(466, 254)","(465, 251)",3.1622776601683795
29,"(466, 254)",None,None
30,"(465, 254)",None,None
31,"(465, 254)","(464, 253)",1.4142135623730951
32,"(464, 254)",None,None
33,"(464, 254)","(464, 252)",2.0
34,"(464, 253)",None,None
35,"(463, 252)","(463, 251)",1.0
36,"(463, 252)","(463, 251)",1.0
37,"(463, 252)","(462, 251)",1.4142135623730951
38,"(463, 252)","(462, 250)",2.23606797749979
39,"(463, 252)","(462, 251)",1.4142135623730951
40,"(462, 252)","(461, 250)",2.23606797749979
41,"(462, 251)","(462, 250)",1.0
42,"(462, 251)","(462, 249)",2.0
43,"(462, 250)","(462, 249)",1.0
44,"(462, 250)","(461, 249)",1.4142135623730951
45,"(462, 250)","(462, 249)",1.0
46,"(462, 250)","(462, 249)",1.0
47,"(462, 250)","(461, 249)",1.4142135623730951
48,"(462, 250)","(462, 249)",1.0
49,"(463, 250)","(462, 249)",1.4142135623730951
50,"(463, 250)","(462, 249)",1.4142135623730951
51,"(463, 250)","(463, 249)",1.0
52,"(463, 250)","(463, 249)",1.0
53,"(463, 250)","(463, 249)",1.0
54,"(464, 250)","(463, 249)",1.4142135623730951
55,"(464, 250)","(463, 248)",2.23606797749979
56,"(464, 250)","(463, 248)",2.23606797749979
57,"(464, 248)","(462, 247)",2.23606797749979
58,"(463, 246)","(460, 243)",4.242640687119285
59,"(462, 244)","(461, 241)",3.1622776601683795
60,"(462, 242)","(461, 241)",1.4142135623730951
61,"(462, 242)","(461, 241)",1.4142135623730951
62,"(462, 242)","(461, 241)",1.4142135623730951
63,"(462, 242)","(461, 241)",1.4142135623730951
64,"(462, 242)","(461, 242)",1.0
65,"(462, 243)","(461, 242)",1.4142135623730951
