frame,label,measured,error
0,"(334, 305)","(331, 306)",3.1622776601683795
1,"(334, 305)","(333, 304)",1.4142135623730951
2,"(334, 304)","(331, 305)",3.1622776601683795
3,"(333, 304)","(333, 304)",0.0
4,"(333, 303)",None,None
5,"(333, 303)",None,None
6,"(333, 303)",None,None
7,"(333, 303)",None,None
8,"(333, 302)","(330, 304)",3.605551275463989
9,"(333, 302)","(330, 304)",3.605551275463989
10,"(333, 302)","(332, 302)",1.0
11,"(333, 302)","(332, 302)",1.0
12,"(333, 302)","(332, 302)",1.0
13,"(332, 302)","(332, 302)",0.0
14,"(332, 302)","(329, 304)",3.605551275463989
15,"(332, 302)","(331, 302)",1.0
16,"(332, 302)","(331, 302)",1.0
17,"(332, 302)","(329, 303)",3.1622776601683795
18,"(331, 302)","(331, 302)",0.0
19,"(331, 302)","(331, 302)",0.0
20,"(331, 302)","(328, 303)",3.1622776601683795
21,"(331, 302)","(328, 302)",3.0
22,"(331, 301)",None,None
23,"(330, 301)","(330, 301)",0.0
24,"(330, 300)","(330, 300)",0.0
25,"(330, 300)","(330, 300)",0.0
26,"(330, 300)","(329, 299)",1.4142135623730951
27,"(330, 299)","(329, 299)",1.0
28,"(329, 299)",None,None
29,"(329, 298)","(329, 299)",1.0
30,"(329, 298)","(328, 298)",1.0
31,"(329, 298)","(326, 300)",3.605551275463989
32,"(329, 298)","(328, 298)",1.0
33,"(328, 298)",None,None
34,"(328, 298)","(328, 298)",0.0
35,"(328, 298)","(328, 298)",0.0
36,"(328, 298)","(327, 298)",1.0
37,"(328, 298)","(327, 298)",1.0
38,"(328, 297)","(327, 298)",1.4142135623730951
39,"(328, 297)",None,None
40,"(328, 297)","(327, 298)",1.4142135623730951
41,"(328, 296)","(326, 297)",2.23606797749979
42,"(328, 296)","(326, 297)",2.23606797749979
43,"(327, 295)","(326, 296)",1.4142135623730951
44,"(327, 295)","(326, 295)",1.0
45,"(327, 294)","(327, 294)",0.0
46,"(327, 293)","(326, 294)",1.4142135623730951
47,"(327, 293)","(326, 293)",1.0
48,"(326, 292)","(326, 293)",1.0
49,"(326, 292)","(323, 293)",3.1622776601683795
50,"(326, 291)","(325, 291)",1.0
51,"(326, 290)",None,None
52,"(326, 290)","(325, 291)",1.4142135623730951
53,"(326, 289)","(325, 290)",1.4142135623730951
54,"(326, 289)","(325, 289)",1.0
55,"(326, 288)","(325, 289)",1.4142135623730951
56,"(326, 288)",None,None
57,"(326, 288)","(325, 288)",1.0
58,"(326, 287)","(325, 287)",1.0
59,"(326, 287)",None,None
60,"(326, 287)","(325, 287)",1.0
61,"(326, 284)","(322, 288)",5.656854249492381
62,"(326, 281)","(326, 285)",4.0
63,"(327, 278)","(327, 279)",1.0
64,"(327, 275)","(327, 274)",1.0
65,"(327, 272)","(328, 273)",1.4142135623730951
66,"(327, 271)","(327, 272)",1.0
67,"(327, 271)",None,None
68,"(328, 270)","(327, 271)",1.4142135623730951
69,"(328, 270)","(327, 270)",1.0
70,"(328, 269)","(327, 269)",1.0
71,"(328, 268)",None,None
72,"(328, 267)",None,None
73,"(328, 267)","(328, 267)",0.0
74,"(328, 266)","(327, 266)",1.0
75,"(328, 265)","(327, 265)",1.0
76,"(328, 264)",None,None
77,"(328, 263)","(328, 263)",0.0
78,"(328, 262)","(328, 262)",0.0
79,"(328, 261)","(328, 261)",0.0
80,"(328, 260)","(328, 261)",1.0
81,"(328, 259)","(328, 260)",1.0
82,"(328, 258)","(328, 259)",1.0
83,"(328, 258)","(328, 258)",0.0
84,"(328, 257)",None,None
85,"(328, 256)","(329, 257)",1.4142135623730951
86,"(329, 255)","(329, 256)",1.0
87,"(329, 254)",None,None
88,"(330, 254)","(329, 254)",1.0
89,"(330, 253)","(329, 254)",1.4142135623730951
90,"(331, 252)","(330, 253)",1.4142135623730951
